layout,seed,point,x_m,y_m,z_m,slant_range_m,relative_amplitude,phase_rad
original,,0,-91.49270903651177,-121.41492574292585,0.0,-69.64074042745429,1.0,0.5381495885689892
original,,1,121.41492574292585,-91.49270903651177,0.0,-52.47806200126557,1.0,1.4879242956303682
original,,2,91.49270903651177,121.41492574292585,0.0,69.64074042745429,1.0,5.034555946803014
original,,3,-121.41492574292585,91.49270903651177,0.0,52.47806200126557,1.0,3.6578319513973883
original,,4,14.961108353207035,-106.45381738971881,0.0,-61.05940121435993,1.0,0.5914277019096399
original,,5,106.45381738971881,14.961108353207035,0.0,8.581339213094358,1.0,2.721416827037463
original,,6,-14.961108353207035,106.45381738971881,0.0,61.05940121435993,1.0,3.0099680778637956
original,,7,-106.45381738971881,-14.961108353207035,0.0,-8.581339213094358,1.0,1.0036692014325062
random_101,101,0,110.66025169443601,-14.969226937776046,0.0,-8.585995841899667,1.394798203082797,0.5381495885689892
random_101,101,1,-114.975826645844,45.67613828170413,0.0,26.198756621897445,1.0736325238146747,1.4879242956303682
random_101,101,2,75.04041770360988,119.10270698623289,0.0,68.31450623292629,0.8903082576531773,5.034555946803014
random_101,101,3,-102.38853793910938,-43.887074669104045,0.0,-25.17259189057696,0.854679037214903,3.6578319513973883
random_101,101,4,-120.61231657761498,85.78184808275081,0.0,49.20244672691102,1.1519730194604052,0.5914277019096399
random_101,101,5,50.08129432226089,115.59493095277813,0.0,66.3025285561397,0.8470284246126759,2.721416827037463
random_101,101,6,53.475297095725665,-101.04100115595979,0.0,-57.954737368377344,1.0075799081491699,3.0099680778637956
random_101,101,7,-84.93398916322869,-120.49315777735548,0.0,-69.11203604261988,0.8709357027103111,1.0036692014325062
random_102,102,0,103.88219691415861,33.25913882247133,0.0,19.07665832189783,1.4242554505951135,0.5381495885689892
random_102,102,1,83.9084306378026,-96.76390316534696,0.0,-55.501494744997416,1.494365591718783,1.4879242956303682
random_102,102,2,100.92121383709808,54.32762815747988,0.0,31.161047353972055,1.4222445777988901,5.034555946803014
random_102,102,3,107.5344833715773,7.271770345880548,0.0,4.170916120953378,0.6623095721330464,3.6578319513973883
random_102,102,4,-121.21121504050804,90.04323207240252,0.0,51.64667616961885,1.090071113443157,0.5914277019096399
random_102,102,5,-68.22270073613532,-118.14453935285935,0.0,-67.76492385634899,1.2256430750639884,2.721416827037463
random_102,102,6,-17.92249262860324,-111.0753061197228,0.0,-63.710178250752136,1.4189663138877315,3.0099680778637956
random_102,102,7,-107.64030841006822,-6.518786071132135,0.0,-3.7390220840148065,0.6464104202271312,1.0036692014325062
random_103,103,0,-73.65586352568671,98.20480750512601,0.0,56.32796352133064,0.8094590427059271,0.5381495885689892
random_103,103,1,115.96879121621254,-52.7414483211047,0.0,-30.251251976012092,0.6118076195251159,1.4879242956303682
random_103,103,2,61.16241718101199,117.15228120878676,0.0,67.19578796613153,0.7532393882932408,5.034555946803014
random_103,103,3,-94.59152661675031,-99.3656929573046,0.0,-56.99382006200301,0.5558710227115243,3.6578319513973883
random_103,103,4,49.360965182043856,-101.61923279735132,0.0,-58.286397412632105,1.42211611563944,0.5914277019096399
random_103,103,5,100.43060192832155,57.81851327862954,0.0,33.163336801471964,1.1488396141222255,2.721416827037463
random_103,103,6,-105.89746175758302,-18.91978437298394,0.0,-10.85194249718634,0.6963117671046394,3.0099680778637956
random_103,103,7,112.87154671443622,-92.6934026563546,0.0,-53.16675156888446,0.5367545424941946,1.0036692014325062
